Year,Armagh,sheffield,rochespoint,phoenixpark,Markree
2010,0.5,-0.3,2.3,1.2,4
2010,0,-1.3,5.6,1.2,0.9
2010,-1.7,-4.7,4.5,-0.3,-0.1
2010,-1,-3.3,4.8,2.3,0.4
2010,2.7,2.8,1.4,3.1,1
2010,2.3,2.4,1.7,4.3,3.9
2010,1.9,2.2,-0.6,3.3,-2.7
2010,5.3,4.5,2.4,3.9,3.2
2010,-1.1,2.4,1.3,1.6,2.6
2010,-0.7,-0.5,0.7,-3.3,-0.9
2010,1.3,1,0.8,-0.7,5.2
2010,2.6,1.8,1.3,-0.2,4.3
2010,-1.7,3.8,1.1,0,2.2
2010,-0.8,2.2,1.4,-1.4,1.7
2010,1,2.1,5.2,-2.2,3.7
2010,0.8,1.3,5.1,-2.5,4.5
2010,1.1,6,3.7,1.1,2
2010,2.9,7.1,0.8,1.7,2.3
2010,0.6,1.6,1.9,0.3,4.1
2010,-0.3,-1.1,6.4,0.5,6.4
2010,1.4,-1.6,5.5,-0.8,-1
2010,-0.7,-2.8,2.8,-0.8,1.2
2010,2.9,0,3.2,0.9,3.2
2010,-1.6,-1.2,2,-0.6,1.1
2010,-1.5,-4.1,1.7,-0.7,-1
2010,-0.5,-5.6,3,1,-0.3
2010,4.3,-3,3.8,5.2,3.5
2010,-1.6,-2.5,2.6,-0.2,0.6
2010,-0.9,-3.9,2.6,-0.6,1.2
2010,-0.6,-2.8,3.7,-0.4,0.8
2010,1.4,-2,4.3,-0.1,2.5
2010,1.8,-1.5,2.2,0.5,1.2
2010,0.8,-1.6,3.3,0.3,3.4
2010,2.9,1.5,0.2,0.5,3.1
2010,3.2,-1.4,0.8,0.2,3.6
2010,-1.8,-3.8,2.2,0.5,-1.2
2010,3,-1.1,2.1,3.8,3.5
2010,-0.2,-8.2,2.3,4.6,0
2010,0.6,-8.1,2.2,2.1,1.4
2010,0.1,-2.2,2.7,6.9,1.1
2010,-1.8,5.3,3.3,4.8,2.3
2010,3.1,3.1,3.8,1.3,2.7
2010,-3.9,-4,-0.2,4,-2.6
2010,-0.7,-1.3,1.9,1.4,-0.1
2010,0.4,0.3,1.5,2.8,-0.9
2010,-1.2,-0.6,0.7,0.7,2.4
2010,-0.9,-1.2,3.1,2.8,0.9
2010,-1.8,-6,4.4,2.9,-0.5
2010,-0.6,-2.2,3.3,3.3,0.7
2010,1.3,-1.8,3.6,5,2.3
2010,1,5.4,1.4,2.7,3.6
2010,0.3,0.3,1,-1.1,1.5
2010,-0.8,-0.8,2.7,-2.5,3.5
2010,2.9,1.5,3.1,-1.2,4.3
2010,1.3,3.1,1.9,1.1,6.4
2010,2.8,2,0.1,0.6,0.9
2010,2,0.6,-0.6,0.5,3.3
2010,1.7,1.3,1.2,0.1,3.2
2010,1,0,2.5,0.5,3.7
2010,1.6,0.9,-1,0.5,2.9
2010,0.6,-0.2,-0.5,-0.3,1.7
2010,3.3,0.5,1.8,-2.2,2.3
2010,0.5,-5.1,-0.4,-0.3,1.4
2010,-0.9,0.5,-0.3,-1.1,2.7
2010,0.7,1.2,2.3,1.3,3.4
2010,1.5,-0.2,-0.1,-0.2,3
2010,-0.4,-2.2,-0.5,-0.3,1.1
2010,1.5,-1,0.5,2.1,3
2010,2.3,-0.1,4,-1.5,2.8
2010,1.2,0,0.8,-0.7,2.9
2010,1.4,2.1,1.6,1.5,4.8
2010,3.6,-0.4,0.5,0.1,2.9
2010,0.2,2.8,0.4,0.7,2.1
2010,-2.3,-2.1,-0.6,-1,1.6
2010,-3.5,-1.5,3,-1,2.8
2010,8.3,2.2,5.7,-2.2,2.4
2010,0,-1.6,1.5,1.2,2.2
2010,-0.6,-0.9,1.4,0.2,2.2
2010,-1.2,-1.4,-0.2,-0.1,2.7
2010,-1.1,-4.3,2.2,-0.5,0.7
2010,2.4,0.6,3.2,-1.1,3.3
2010,2.4,-0.9,3.1,1.1,3
2010,4.5,4.4,3.8,2.8,3.4
2010,-0.1,0.1,0.5,0.3,2.6
2010,0.8,1.2,-0.5,0.4,3.4
2010,-1.6,3.5,0.9,-1.6,-0.6
2010,2.2,0.9,0.4,-0.4,1.9
2010,1.9,2.5,0.2,1.2,3.4
2010,3.1,2.4,0.2,0.8,2.8
2010,1,2.5,0,0.7,3.6
2010,0.6,-1.2,4.2,-0.2,0.3
2010,0.1,-2.3,2.3,0.6,1.3
2011,-4.5,-4.8,2.7,-2,0.4
2011,-2.3,-1.2,6.9,1,0
2011,8.3,4.4,5.7,0.1,4.6
2011,10.3,4.5,0.6,-0.3,4.8
2011,1.6,-2.1,0.2,-0.6,4
2011,-1.6,-2.2,1.1,1.3,2.1
2011,-1,-3.7,-1.3,-1.5,-2
2011,3.2,-1.5,1.3,-0.7,3.6
2011,-1.2,0.3,0.6,-0.2,1.4
2011,1,-0.2,2.6,-0.8,2.9
2011,2.9,-0.2,3.6,-0.2,3.2
2011,0.1,-1.1,0.8,-0.2,4.3
2011,-0.8,-3.4,1.2,1.1,4.4
2011,0.5,-2.4,4.2,0.3,-0.1
2011,3,1.6,3.8,-0.6,2.5
2011,0.6,-0.8,2.1,2.4,2.1
2011,0.7,-0.4,0.4,3.1,0.5
2011,-1.4,-1.6,0.5,2.1,0.8
2011,-0.8,-4.1,2.2,1,1.6
2011,1.5,-3,2.4,1,1
2011,1,-0.9,3.1,0,1
2011,2,1.7,1.5,1.6,3.1
2011,0,-1.3,0.1,1.1,2.5
2011,-2.8,-4.2,2.9,2,2.6
2011,-0.5,-5.3,7,-0.1,5.6
2011,4.2,-8.3,5,-0.5,2.4
2011,0,-1.6,2.2,1.8,3.1
2011,1.5,-0.4,2.1,2.7,2.4
2011,0.3,-0.8,1.1,1.7,2.4
2011,-1.7,-2.3,0.7,1.6,2.3
2011,0.3,-1.5,4.1,2.6,2.7
2011,-2.1,-4.7,3.4,0.6,0.3
2011,-0.3,-3.6,4.7,0.3,2.8
2011,0,-2,3.5,-0.5,0.5
2011,0.3,0.3,2.9,-0.2,0.8
2011,-0.3,-3.4,1.4,-0.4,-1.5
2011,-0.5,-0.9,2.7,0.7,1.5
2011,-3,-4.2,-0.6,1.7,-1.7
2011,2.7,-1.3,2.7,0.4,4.3
2011,1.1,-1.7,0.6,-0.3,1.8
2011,0,2,2.6,-1.1,3.7
2011,0.7,4.7,1.3,-0.5,0.4
2011,0.1,0.9,4.1,0.1,-0.1
2011,4.6,-1.6,3.6,-0.3,5.1
2011,-0.8,-0.6,0.1,0,0.7
2011,3.3,1.4,1.2,0.1,2.7
2011,1.9,-1.3,2,3.2,3
2011,0.7,-3.6,1.2,1.6,3.2
2011,3.2,0.7,2.4,1,3.1
2011,3.5,0.3,2.1,0.9,4.3
2011,-1.3,-0.2,-1.6,-2.6,1
2011,-1.9,-0.4,-0.3,3.2,2.7
2011,-0.6,0.3,4.2,2.3,2.3
2011,2.6,4,3.1,2.3,1.8
2011,-1.2,0.8,0.4,2.4,3.1
2011,-1.2,1.6,0.7,-0.1,4.5
2011,6.2,-1.2,5.6,-0.1,5.4
2011,-0.2,-1.4,0.4,0.5,2.3
2011,-1.7,-2.2,3.1,0.4,1.7
2011,-0.5,-6.7,0.6,0.6,-0.9
2011,-0.3,-5.1,1.9,-0.5,1.6
2011,-1.1,-6.9,2.6,-0.5,0.2
2011,-2.6,-8.9,1.5,0.8,1.4
2011,-4.8,-3.2,0.5,0.6,-2.2
2011,5.1,-0.3,1.9,-0.2,2.7
2011,2,-2.2,1.4,-1.5,1.7
2011,0,-1.6,2.1,-0.1,2.1
2011,0,-0.9,0.5,0.5,1
2011,1.6,1.1,1.5,0.8,4.2
2011,0.7,0,0.9,-0.2,2.9
2011,-1.8,-2.7,2.5,0.5,1.6
2011,2.6,1.5,-0.3,-1,2.8
2011,-0.4,-1.9,1.4,0.4,0.5
2011,1.3,0.4,0.6,0.5,2.5
2011,0.4,-1.3,0,0.6,2.6
2011,-1.6,-3.2,2.3,-0.2,0.2
2011,1.2,1.1,1.5,-1,4.1
2011,2.1,1.9,2.5,0.8,3.1
2011,2.9,-2.1,1.3,0.7,1.8
2011,-3,-5.5,0.7,0.9,0.8
2011,-1.2,-4.4,3,0.6,-1
2011,0.8,-1.4,1.7,-0.6,3.3
2011,-0.9,0.6,1,-1,1.6
2011,1.3,-3.2,1.2,-0.1,2
2011,-0.4,-2.3,1.5,-1.3,1.9
2011,0,4.7,2.6,3.2,1.7
2011,0.8,2.1,2,1.1,4
2011,0.9,-0.2,1.2,-0.3,1.7
2011,1.3,1.3,0.3,-0.1,3.1
2011,-0.5,-0.6,-1.6,0.2,0.7
2011,-3.4,-1.2,-0.5,0.4,-0.7
2011,-1.7,-3.1,0.6,1.4,-0.5
2012,2.1,6.2,3.6,1.1,2.3
2012,6.4,7.6,3.1,-0.9,-0.4
2012,-3.3,-1.4,-0.7,0.4,0.3
2012,3,-0.3,2.9,-1.1,-0.7
2012,-3.7,-5.7,-2.6,-0.1,1.5
2012,5.4,3.7,2.9,-0.6,1.8
2012,2.1,-1.2,-1,1.2,2
2012,-2.1,-2.4,-1.5,1.8,0.8
2012,-0.9,-1,2.7,2.7,3.9
2012,-0.9,6.5,3.7,3.4,2.9
2012,2.2,3.4,2.4,3.2,1.5
2012,1.7,3.9,0.6,2.5,1.8
2012,2.3,0.3,2.9,0.4,3.6
2012,-0.1,-3,1.2,1.8,-1.5
2012,0.4,1,2.5,1.2,1
2012,2.2,1.1,2.9,-0.8,5.9
2012,0.5,-3.1,2.7,-0.4,2.8
2012,-0.5,-3.7,3.1,0.6,3.7
2012,-2.1,-3.1,2.4,0.9,1.4
2012,5.9,0.6,4.1,-0.4,1.4
2012,1.3,0.2,-0.6,-1.1,2.7
2012,1.2,-1.1,-0.9,-0.1,1.5
2012,-1.8,-1.2,1.8,1.2,1.4
2012,4.6,1.2,2.6,-0.4,4.5
2012,-0.8,-2.1,4.4,-1.2,1
2012,0.2,-0.6,6.2,-0.3,3.5
2012,0.2,-3.3,5.5,-0.2,0
2012,0.7,-1.1,4,0.5,-0.1
2012,3.7,-0.1,1.2,-2.4,2
2012,-0.2,-0.3,1.3,-2.6,2.5
2012,-4.9,-0.6,2.1,0.4,1.8
2012,3.4,2,2.9,-1.2,0.6
2012,-5.1,-6.3,0.7,1,-2.3
2012,-3.8,-6.5,1.3,-2.8,-2.2
2012,1.2,3.9,2.4,-0.1,1.8
2012,-0.6,-2.2,-0.1,-0.3,-2.5
2012,7.1,1.4,1.8,-1.5,3.1
2012,-2.6,-2.2,-0.4,0.4,2.9
2012,0.3,0.5,1.3,-2,2.2
2012,2.9,1.3,0.8,-2.4,3.2
2012,-0.9,-2.5,0.7,-1,3.6
2012,-5.3,-1,-3.5,-0.1,-4.5
2012,0,-1.1,1.5,-0.8,-1.4
2012,-1.8,-2.8,-0.9,0.5,0.4
2012,-2.7,0.3,1.9,1.9,0.9
2012,2.1,-2.3,0.3,0.5,0.3
2012,4.5,2.9,5.7,-0.1,6.7
2012,3.5,3.5,1.2,-0.4,2.5
2012,0.4,0.3,-1.1,0.4,1.4
2012,-0.9,-2.4,1.7,-1.4,1.9
2012,-1.3,-4.7,3.5,-0.6,1.5
2012,3,-5.1,4.7,0.8,-0.7
2012,3.6,-4.8,7.5,-0.6,7.4
2012,-0.8,-0.9,3.4,1.5,2.5
2012,-2.1,-4.1,1.7,0.2,1.4
2012,5.4,1.8,4.6,3,5.1
2012,3.7,0.3,3,-0.9,4
2012,2.7,1,1.9,-0.5,4.6
2012,-0.1,-0.3,-0.5,1.2,2.2
2012,0.9,1.2,3.5,-0.2,0.2
2012,-2.2,-4,2.2,-1.5,1.6
2012,-1.8,-2,1.2,-0.7,1.6
2012,0,-0.8,3.1,1.3,1
2012,0.1,-2.6,3.5,-0.9,-0.8
2012,1,-3.3,1.5,-0.7,-2.1
2012,1.6,-0.5,2.2,-2.4,4.6
2012,-2.4,-2.1,1,-0.3,0
2012,-3.1,-3.9,0.1,2.4,-0.8
2012,-0.8,-2.4,3,-0.7,-2
2012,-0.2,1.8,7.2,0,2.9
2012,4.5,2,3.4,-1.1,-0.7
2012,4.5,0.5,4.5,-1.6,0.3
2012,-0.9,-1.3,3.5,2.1,1.3
2012,-0.7,-3.3,3,2.1,0.3
2012,2.1,-1.1,2.6,1.4,-0.5
2012,-3.9,-4.2,0.9,0.1,-0.8
2012,-3.8,-1.5,2,0.5,-0.7
2012,-2.7,-4.7,2.3,-0.2,-2.6
2012,0.9,-0.2,3.8,-2,0.2
2012,-2.8,-4.3,2.3,-0.8,-0.1
2012,3.2,3.1,3.9,-2.3,2.1
2012,0.9,0.4,1.1,-1.1,1.1
2012,2.1,1.3,0.4,1.7,2
2012,1.6,-1.6,1.8,1.3,2.1
2012,-4.3,-3.6,-2.9,-0.2,-2.5
2012,0.5,0,1.8,3.3,2.8
2012,-2.5,0.4,1.2,0.2,-0.6
2012,2.5,-0.9,1.5,-1.8,1.3
2012,1.3,3.6,2.2,-1,1.8
2012,0.7,4.9,0.6,0.7,3.1
2012,0.1,0.4,0.4,0,1.5
2012,-1.1,-4,-1.2,2.2,0.5
2013,-0.3,-1.4,1.7,3.6,2.8
2013,-0.7,-1.3,3.6,3.4,1.4
2013,-3.3,0.2,3.7,2.6,0.2
2013,-1.4,6.2,4.8,2.2,-0.2
2013,-1.7,2,5.6,-0.1,-0.7
2013,-0.9,2.1,4.1,-1.8,-0.2
2013,0.9,6.6,3.6,1.1,0.2
2013,2.1,6.3,5.5,4.1,2.5
2013,2.1,5.2,5.3,0.1,-1
2013,-1.3,-3.2,1.9,-0.3,-1.8
2013,2,-0.6,2.4,1.5,2.5
2013,0,-3.3,1.9,-0.2,-0.1
2013,-0.8,-1,0.7,1.4,2.8
2013,-1.4,-1.6,2.1,0.3,0.3
2013,-0.2,-3,1.1,0.6,1.1
2013,-2,-2.6,3.3,1.2,-0.1
2013,-3.6,-3.4,1.1,0.7,0.7
2013,3.4,-0.3,2.3,2,5
2013,0.5,-0.8,1.5,-1,3
2013,1.9,-0.2,5,-0.9,2.6
2013,2.7,0,2.7,-1.2,1.8
2013,2.6,1,0.8,-0.6,2.7
2013,-0.3,-0.4,1,-0.9,2.7
2013,-2.2,-1.5,2.5,0.2,1.2
2013,-1.7,-1.9,2.9,-1.3,0
2013,5,3.5,3.4,0.6,4.2
2013,5.4,5,1.7,-0.8,6.7
2013,-2.5,-0.3,-2,1.4,2.9
2013,5.3,0.4,-0.1,0.5,1.3
2013,2,1,0.2,-1.2,2.9
2013,2.7,1.5,0.6,-1,2.2
2013,0.6,-0.8,2.2,0.2,2.8
2013,2.7,-2.6,3.3,0.2,2.3
2013,-2.2,-4.5,0.2,0.8,3.6
2013,-0.7,-5.1,6,-0.8,1.9
2013,-0.4,-2.3,7.1,-1.4,6.1
2013,-0.6,3.7,4.2,1.1,2.6
2013,1.6,1.9,6.9,-1,1.2
2013,4.2,11.7,5.6,-1.6,5.5
2013,2.4,8.3,8.3,-2.5,7.6
2013,-1.2,-0.6,6.4,-2.4,-0.5
2013,8,0.5,8.4,0.3,2.1
2013,4.1,3,4.2,0.5,9.8
2013,5.8,0.4,6.1,-0.8,9.1
2013,0.2,-5.8,1.6,-1.4,2.6
2013,-1.3,-3.8,3.5,-1.5,1
2013,-0.4,-1.1,5.2,-2.1,2.5
2013,-1.2,-0.3,6,-1.4,3.5
2013,3.6,8.5,4.2,1.8,1
2013,7.4,10.6,5.1,-1.2,0.3
2013,-1.7,-3.9,3.2,-1.4,2.3
2013,-1.9,-3.2,1.6,-1.1,-2.9
2013,-1.4,-3.4,0.8,-0.1,-0.2
2013,-1.4,-3.9,1.8,-0.9,0.8
2013,-0.9,-2.2,3.2,-0.6,1.8
2013,-0.8,-2.9,2.7,0.1,-0.2
2013,-2.6,-0.2,1.6,-0.2,-0.4
2013,2.3,-1,1.9,0.6,-0.7
2013,1.4,-0.3,1.7,-1,2.7
2013,3.5,1.6,1.5,-0.1,4.2
2013,1.5,-10.7,2.4,-0.9,2.6
2013,0.6,-4.6,2.4,1.3,-0.1
2013,1.7,-1.4,3.4,0.4,2.1
2013,-2.7,0,1.8,-0.9,1.2
2013,2.4,1.4,2.9,-1.6,2.3
2013,0.2,1.8,1.6,-0.5,3.5
2013,0.1,-0.7,1.7,-2.2,1.1
2013,0,0.2,4,1.9,3.9
2013,2.9,1.1,2.6,0.1,0.4
2013,-1.5,-0.7,-1.8,0.9,1.9
2013,5.2,3.9,2.4,1.8,5.4
2013,1.8,1.9,0.7,0.9,4
2013,-0.2,0.8,0.8,-0.4,3.6
2013,-1.5,-3.2,1.8,0.2,1.7
2013,2.7,-2.5,2.8,0,3.8
2013,-0.1,-1.6,3.2,0.1,0.2
2013,-0.9,2.6,3.1,0.8,2.4
2013,5,3,2.2,0.9,2.9
2013,-2.1,-0.4,0.1,0.6,2.5
2013,-0.3,-1.8,1.1,-1.7,1.4
2013,-0.1,-2.5,1.9,-1.5,1.5
2013,2,-2.1,2.3,-0.2,4.1
2013,3.6,-2,4.9,0.1,3.9
2013,1.1,-1.3,-1.2,-0.9,0.6
2013,-0.9,-4,1.2,-0.5,1.8
2013,0.3,-4.2,-0.2,2.5,2.4
2013,-0.5,-3.9,0.3,0,1.3
2013,2.5,-1.6,-0.9,2.1,4.6
2013,1.1,-0.3,2.5,0.7,2.9
2013,1.9,0,0.9,-0.8,3.5
2013,3,4.5,-0.4,-1.6,2.2
2013,0.3,2.6,1.1,-1.7,3.3
2014,1.7,-2,2.7,-1.9,0.5
2014,1.6,0.4,2.3,-0.5,4.6
2014,1.7,3.5,2.2,-1,1.8
2014,-0.6,-0.6,0.4,-0.3,1.5
2014,-1.1,-3.3,2.9,-1.7,2.2
2014,-1.1,-1.4,3.3,-1.8,1.2
2014,0.1,-4.1,2.3,-0.6,-1.3
2014,-1.3,-2.7,2.1,-2.1,0.2
2014,0.9,-3.9,2.2,-0.6,0.9
2014,-3,-3.8,1.2,-1.4,-0.3
2014,-1.2,-3.9,3.4,-1.4,0.7
2014,3.6,0.7,5.1,-1.8,1.4
2014,3.6,2.9,4.1,-1.4,4.4
2014,-0.5,3.5,-1.2,-3,2.2
2014,-2.5,2.1,0.2,-0.5,1.8
2014,-1.8,4.3,3.5,1.3,-0.1
2014,1.6,2.4,5.4,-0.8,4.5
2014,7.6,7.3,4.6,2,8.8
2014,2.3,-1.7,0,1.5,3.6
2014,-0.5,-0.7,2.1,5.6,2.6
2014,0.5,-1.7,1.5,-2.8,3.2
2014,1.1,-0.7,3.5,-0.7,5
2014,4.5,2.5,2.4,0.6,4.2
2014,4.5,5.1,3.4,-0.9,4
2014,1.8,0.7,-0.2,-0.8,1.9
2014,2.3,4.1,0.3,1.1,-1.1
2014,1.8,5.8,2.1,-2.7,1.4
2014,0,2.8,1,3.8,1.9
2014,-1.7,-0.8,2.1,2.6,1.2
2014,-2,-0.8,2,2.9,-0.4
2014,3.2,0.2,3.5,0.7,0.8
2014,3.4,0.3,2.6,0.3,3.7
2014,4.3,-1.2,3,-0.1,2.5
2014,2.8,-1.3,0.3,-0.2,2.2
2014,0.7,-1.4,1,1.8,1.7
2014,0.4,-2.3,0.5,-0.5,3.7
2014,0.5,-2.8,1.3,-1.3,1.2
2014,-1.4,-1.7,1.7,0.2,3.6
2014,0.6,-0.6,2.2,0.2,4
2014,0.1,-1,2.1,1.5,2.1
2014,0.8,-5.6,2.5,2,1.8
2014,0.8,-1,1.3,2.1,1.6
2014,-1.3,-2.1,-1.6,-0.1,3.1
2014,1.2,0.1,1,1.2,1.9
2014,-0.6,-3.8,1.9,0.2,1.3
2014,-1.3,-3.3,3.3,0.2,2.4
2014,3.7,1.2,5,0.5,1.3
2014,4.2,3.3,5.2,1.7,2
2014,1.3,-2.1,2.2,0.5,2
2014,-1.2,-2.6,0.3,-0.3,3.1
2014,-5.6,-4.9,2.5,-1.4,-0.5
2014,-0.9,0.4,7.6,1.2,1.8
2014,-1.6,-0.6,6.2,-0.1,1.9
2014,-0.7,0.8,2.3,-0.6,6.1
2014,6.3,-0.9,3,3.1,0
2014,3.6,-0.4,-0.3,-0.5,3.2
2014,0.6,-2.4,0,-0.3,3.9
2014,0.4,-1.6,-0.5,-1.7,3.4
2014,0.5,-0.9,0.3,-1,3.8
2014,3,0.7,-1.2,-1.2,3
2014,0.7,1.2,0.6,-1.6,2.3
2014,3.7,-1.9,2.1,-1.5,2.5
